No.,Supplier,Website,Category,Product Name,Product Code,Specifications,Key Features,Applications
Hung Phu,bactham.vn,Ro da - Tham da,Ro da (Gabion),Gabion,"Mat luoi: 8x10cm, 6x8cm, 10x12cm
Day dan: Ma kem nhe (TCVN 2053-1993)
Day dan: Ma kem boc PVC (TCVN 10335-2014)
Ma kem nang: 220-280 g/m2
Cong suat: 120 Tan/thang","Dan tren may chuyen dung
Tieu chuan mat luoi xoan kep
Nha xuong 3.000 m2
Cong suat 5 may dan","Gia cuong mai doc
Bo ke song, kenh
Bao ve moi truong
Xay dung canh quan",
Hung Phu,bactham.vn,Mang chong tham HDPE,Mang chong tham HDPE HSE,HSE 0.3 - 2.0mm,"HSE 0.3: 0.3mm, khang thung 105N
HSE 0.5: 0.5mm, khang thung 176N
HSE 0.75: 0.75mm, khang thung 264N
HSE 1.0: 1.0mm, khang thung 352N
HSE 1.5: 1.5mm, khang thung 540N
HSE 2.0: 2.0mm, khang thung 705N
Kho rong: 8m, Carbon den 2-3%","Thuong hieu HSE cua Aritex
Dai ly cap 1
Kho hang tai Long An
Thi cong lap dat chuyen nghiep
May han Comet Leister (Thuy Si)","Lot ho Biogas
Ho chua nuoc thai
Lot ho tom nuoi thuy san
Chon lap rac thai
Be chua xang dau",
Aritex,aritex.com.vn,Vai dia ky thuat khong det,Vai KDT khong det ART,ART 7 - ART 28,"Pho thong: 7-28kN/m, O95: 60-150um, Kho 4m
Loai D: 9.5-28kN/m, O95: 60-180um, Day 1.2-3.2mm
Theo thiet ke: 700G/900G/12A
CBR: 1200-4500N
Tieu chuan: ASTM D4595, TCVN 8485","San xuat tai Viet Nam
Phuong phap xuyen kim, can nhiet
Do ben cao, on dinh kich thuoc
Da dang: pho thong, loai D, theo thiet ke","Phan cach, gia cuong, bao ve
Loc va tieu thoat nuoc
Xu ly nen dat yeu
Cong trinh giao thong, moi truong",
Aritex,aritex.com.vn,Vai dia ky thuat det,Vai KDT det GET,GET 10 - GET 300,"GET 10: >=100/50 kN/m, CBR >=4500N
GET 15: >=150/50 kN/m, CBR >=5500N
GET 20: >=200/50 kN/m, CBR >=7000N
GET 40: >=400/50 kN/m, CBR >=12000N
GET 100: >=100/100 kN/m, CBR >=6000N
GET 200: >=200/200 kN/m, CBR >=15000N
GET 300: >=300/300 kN/m, CBR >=18000N
Do gian: <=15%, UV >70%, Kho: 3.5/5.4m","San xuat tu PP/PET chat luong cao
Cuong luc chiu keo cao
Kha nang loc va thoat nuoc tot
Khang UV >70%","Gia cuong nen dat yeu
Loc va thoat nuoc
Chong xi mon ke song, bien
Xay dung duong bo, duong sat, bai rac",
Aritex,aritex.com.vn,Mang chong tham HDPE,Mang chong tham HDPE HSE,HSE 0.3 - HSE 2.0,"HSE 0.3: 0.3mm, keo 8kN/m, gian 600%
HSE 0.5: 0.5mm, keo 14kN/m, gian 700%
HSE 0.75: 0.75mm, keo 21kN/m, gian 700%
HSE 1.0: 1.0mm, keo 28kN/m, gian 700%
HSE 1.5: 1.5mm, keo 43kN/m, gian 700%
HSE 2.0: 2.0mm, keo 57kN/m, gian 700%
Carbon den: 2-3%, Kho: 7-8m
Tuoi tho >25 nam","Nha san xuat HDPE dau tien & lon nhat VN
San xuat tu hat nhua PP nguyen sinh
Khang UV, khang hoa chat
Tuoi tho >100 nam (ly thuyet)
Kho rong 8m, cat theo yeu cau","Lot ho nuoi thuy san
Chon lap rac thai
Ho biogas
Xu ly moi truong o nhiem dioxin
Be chua xang dau",
Aritex,aritex.com.vn,Bac tham,Bac tham dung & ngang,"VID 75, RID 75, RID 200, RID 300","Dung: Be rong 100mm, Thoat nuoc >=80x10-6m3/s (10kPa)
Cuong do keo >1.6-1.9kN, O95 <0.075mm
Ngang: Be rong 200-300mm, Day 8mm
Thoat nuoc 80-140x10-6m3/s (100kPa)
Luc chiu nen >250kPa","Loi PP, vo loc polyester
Chong vi khong, khong an mon
Bien dang theo dia hinh
Duy tri kha nang thoat nuoc","Xu ly gia cuong nen dat yeu
Duong cao toc, san bay, duong sat
Ben cang, kho xang dau
Xu ly moi truong dat o nhiem",
Aritex,aritex.com.vn,Mang chong tham set tong hop,Mang chong tham set ART Bentonite,"ART 3000, ART 4000, ART 4700","ART 3000: Bentonite >2700g/m2, Tham <=5x10-11 m/s
ART 4000: Bentonite >3700g/m2, Tham <=3x10-11 m/s
ART 4700: Bentonite >4700g/m2, Tham <=5x10-11 m/s
Trong luong vai khong det >180g/m2
Trong luong vai det >110g/m2
Chi so truong no >24ml/2g","Cau tao 3 lop: vai + Bentonite + vai
Truong no cao khi gap nuoc
He so tham cuc thap
Chiu khac boc >=65N","Chon lap chat thai
Niem phong kinh phong xa, chat doc
Lot ao ho chat nhiem
Xu ly moi truong",
Aritex,aritex.com.vn,Ong/Tui dia ky thuat,Ong/Tui dia ky thuat,Ong 50x11.2m / Tui 10x4.4m,"Ong: Keo >135/110 kN/m, Cuong may >76kN/m
Tui: Keo >100/80 kN/m, Cuong may >55kN/m
Khang thung: >10000N (ong), >6500N (tui)
Tham >0.4 s-1, Kich thuoc lo <0.38mm
Do gian: <25%","Lam tu vai det PET/PP cuong luc cao
Khang nuoc bien, UV, chiu pH
Thiet ke theo du an
ISO 9001","De pha song ngoai khai
Ke, bao bao, loi de
Xay dung ha tang hang hai
Ung pho lu lut",
Aritex,aritex.com.vn,Luoi dia ky thuat,Luoi dia ky thuat,Don truc / Hai truc / Cot soi,"Luoi don truc: Chiu luc 1 chieu
Luoi hai truc: Chiu luc 2 chieu
Luoi cot soi: Ket hop vat lieu khac","Gia cuong nen dat
Tang cuong on dinh cong trinh
Kiem soat xi mon
Thoat nuoc hieu qua","Gia cuong mai doc
On dinh nen mong
Kiem soat xi mon
Tang do lien ket lop dat",
Aritex,aritex.com.vn,O dia ky thuat,O dia ky thuat Acel (Geocell),Acel,"Nguyen lieu: HDPE
Carbon den >=1.5% (ASTM D1603)
Ti trong >=0.94 g/cm3
Day tam: 1.5mm
Chiu luc moi han >=1000 N/10cm","Cau truc to ong lien hop
Han nhiet tam HDPE
Gia cuong chiu tai
Chong xi mon be mat","Gia cuong mai doc
On dinh nen mong
Chong xi mon kenh muong
Bao ve nen duong, bai",
